Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.129997,86.309998,85.500000,85.949997,80.391838,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,80.765976,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,81.476822,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,82.486992,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,82.571167,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,82.515053,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,82.140907,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,82.384094,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,83.805801,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,82.636665,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,84.310905,25621200
2018-01-18,89.800003,90.669998,89.660004,90.099998,84.273476,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,84.179970,36875000
2018-01-22,90.000000,91.620003,89.739998,91.610001,85.685822,23601600
2018-01-23,91.900002,92.300003,91.540001,91.900002,85.957077,23412800
2018-01-24,92.550003,93.430000,91.580002,91.820000,85.882248,33277500
2018-01-25,92.470001,93.239998,91.930000,92.330002,86.359291,26383200
2018-01-26,93.120003,94.059998,92.580002,94.059998,87.977386,29172200
2018-01-29,95.139999,95.449997,93.720001,93.919998,87.846428,31569900
2018-01-30,93.300003,93.660004,92.099998,92.739998,86.742744,38635100
2018-01-31,93.750000,95.400002,93.510002,95.010002,88.865959,48756300
2018-02-01,94.790001,96.070000,93.580002,94.260002,88.164444,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,85.844833,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,82.309273,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,85.423950,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,83.815163,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,79.512619,55628700
2018-02-09,86.300003,88.930000,83.830002,88.180000,82.477638,63499100
2018-02-12,88.739998,89.779999,87.930000,89.129997,83.366188,35720300
2018-02-13,88.930000,90.000000,87.800003,89.830002,84.020943,26407700
2018-02-14,88.510002,90.989998,88.410004,90.809998,85.336563,34960900
2018-02-15,91.209999,92.720001,90.620003,92.660004,87.075058,27823900
2018-02-16,92.449997,93.500000,91.800003,92.000000,86.454842,30596900
2018-02-20,91.480003,93.059998,91.010002,92.720001,87.131439,30911700
2018-02-21,92.980003,93.360001,91.489998,91.489998,85.975571,26922500
2018-02-22,92.050003,92.730003,91.360001,91.730003,86.201126,24392800
2018-02-23,93.599998,94.070000,92.360001,94.059998,88.390648,26329200
2018-02-26,94.400002,95.449997,94.250000,95.419998,89.668709,30199800
2018-02-27,95.739998,95.839996,94.199997,94.199997,88.522232,25869100
2018-02-28,94.839996,95.709999,93.629997,93.769997,88.118149,31167300
2018-03-01,93.989998,94.570000,91.839996,92.849998,87.253609,37135600
2018-03-02,91.580002,93.150002,90.860001,93.050003,87.441559,32830400
2018-03-05,92.339996,94.269997,92.260002,93.639999,87.995979,23901600
2018-03-06,94.339996,94.489998,92.940002,93.320000,87.695267,22175800
2018-03-07,93.160004,93.940002,92.430000,93.860001,88.202721,26716100
2018-03-08,94.269997,95.099998,93.769997,94.430000,88.738380,25887800
2018-03-09,95.290001,96.540001,95.000000,96.540001,90.721191,36937300
2018-03-12,96.500000,97.209999,96.040001,96.769997,90.937317,26073700
2018-03-13,97.000000,97.239998,93.970001,94.410004,88.719582,35387800
2018-03-14,95.120003,95.410004,93.500000,93.849998,88.193329,32132000
2018-03-15,93.529999,94.580002,92.830002,94.180000,88.503426,27611000
2018-03-16,94.680000,95.379997,93.919998,94.599998,88.898102,49081300
2018-03-19,93.739998,93.900002,92.110001,92.889999,87.291176,33344100
2018-03-20,93.050003,93.769997,93.000000,93.129997,87.516708,23075200
2018-03-21,92.930000,94.050003,92.209999,92.480003,86.905914,24457100
2018-03-22,91.269997,91.750000,89.660004,89.790001,84.378021,38604700
2018-03-23,89.500000,90.459999,87.080002,87.180000,81.925346,44068900
2018-03-26,90.610001,94.000000,90.400002,93.779999,88.127548,56396800
2018-03-27,94.940002,95.139999,88.510002,89.470001,84.077301,56569000
2018-03-28,89.820000,91.230003,88.870003,89.389999,84.002159,52501100
2018-03-29,90.180000,92.290001,88.400002,91.269997,85.768829,45867500
2018-04-02,90.470001,90.879997,87.510002,88.519997,83.184570,48515400
2018-04-03,89.580002,90.050003,87.889999,89.709999,84.302849,37213800
2018-04-04,87.849998,92.760002,87.730003,92.330002,86.764946,35560000
2018-04-05,92.440002,93.070000,91.400002,92.379997,86.811920,29771900
2018-04-06,91.489998,92.459999,89.480003,90.230003,84.791504,38026000
